 geography , factor , age_group , gender , direct , cost_per_case_uk , forex_rate , cost_per_case_local , inflation_rate , cost_inflated , healthcare_expenditure_factor , income_adjustment_factor , cost_per_case_adjusted 
 Australia , alzheimer and other dementia , adult , all , TRUE ," 6,323.49 ", 1.95 ," 12,323.65 ", 1.00 ," 12,323.65 ", 1.36 , -   ," 16,759.06 "
 Australia , alzheimer and other dementia , adult , all , FALSE ," 15,146.96 ", 1.95 ," 29,519.45 ", 1.00 ," 29,519.45 ", -   , 1.21 ," 35,694.28 "
 Australia , anxiety , adult , all , TRUE ," 1,481.42 ", 1.95 ," 2,887.10 ", 1.00 ," 2,887.10 ", 1.36 , -   ," 3,926.20 "
 Australia , anxiety , adult , all , FALSE ," 3,223.17 ", 1.95 ," 6,281.54 ", 1.00 ," 6,281.54 ", -   , 1.21 ," 7,595.50 "
 Australia , breast cancer , adult , all , TRUE , 978.23 , 1.95 ," 1,906.45 ", 1.00 ," 1,906.45 ", 1.36 , -   ," 2,592.60 "
 Australia , breast cancer , adult , all , FALSE ," 2,831.29 ", 1.95 ," 5,517.81 ", 1.00 ," 5,517.81 ", -   , 1.21 ," 6,672.01 "
 Australia , colon cancer , adult , all , TRUE ," 4,035.72 ", 1.95 ," 7,865.10 ", 1.00 ," 7,865.10 ", 1.36 , -   ," 10,695.82 "
 Australia , colon cancer , adult , all , FALSE ," 11,265.68 ", 1.95 ," 21,955.35 ", 1.00 ," 21,955.35 ", -   , 1.21 ," 26,547.94 "
 Australia , coronary heart disease , adult , all , TRUE ," 2,252.10 ", 1.95 ," 4,389.06 ", 1.00 ," 4,389.06 ", 1.36 , -   ," 5,968.72 "
 Australia , coronary heart disease , adult , all , FALSE ," 2,736.77 ", 1.95 ," 5,333.60 ", 1.00 ," 5,333.60 ", -   , 1.21 ," 6,449.28 "
 Australia , depression , adult , all , TRUE ," 3,851.24 ", 1.95 ," 7,505.57 ", 1.00 ," 7,505.57 ", 1.36 , -   ," 10,206.90 "
 Australia , depression , adult , all , FALSE ," 13,347.28 ", 1.95 ," 26,012.11 ", 1.00 ," 26,012.11 ", -   , 1.21 ," 31,453.28 "
 Australia , diabetes (type 2) , adult , all , TRUE ," 2,068.27 ", 1.95 ," 4,030.80 ", 1.00 ," 4,030.80 ", 1.36 , -   ," 5,481.52 "
 Australia , diabetes (type 2) , adult , all , FALSE ," 4,739.70 ", 1.95 ," 9,237.06 ", 1.00 ," 9,237.06 ", -   , 1.21 ," 11,169.25 "
 Australia , endometrial uterine cancer , adult , all , TRUE ," 5,880.82 ", 1.95 ," 11,460.96 ", 1.00 ," 11,460.96 ", 1.36 , -   ," 15,585.87 "
 Australia , endometrial uterine cancer , adult , all , FALSE ," 15,131.94 ", 1.95 ," 29,490.18 ", 1.00 ," 29,490.18 ", -   , 1.21 ," 35,658.88 "
 Australia , obesity , adult , all , TRUE , 622.31 , 1.95 ," 1,212.80 ", 1.00 ," 1,212.80 ", 1.36 , -   ," 1,649.29 "
 Australia , obesity , adult , all , FALSE ," 2,789.36 ", 1.95 ," 5,436.11 ", 1.00 ," 5,436.11 ", -   , 1.21 ," 6,573.22 "
 Australia , osteoporosis , adult , all , TRUE ," 1,371.00 ", 1.61 ," 2,214.03 ", 1.45 ," 3,207.80 ", 1.36 , -   ," 4,362.32 "
 Australia , osteoporosis , adult , all , FALSE ," 2,356.00 ", 1.85 ," 4,352.03 ", 1.23 ," 5,345.68 ", -   , 0.78 ," 4,183.95 "
 Australia , stroke , adult , all , TRUE ," 2,401.05 ", 1.95 ," 4,679.33 ", 1.00 ," 4,679.33 ", 1.36 , -   ," 6,363.47 "
 Australia , stroke , adult , all , FALSE ," 52,088.29 ", 1.95 ," 101,513.30 ", 1.00 ," 101,513.30 ", -   , 1.21 ," 122,747.68 "
