factor,population_rate,rate_per,geography,geography_level,age_group,gender,source,source_year,updated_at
coronary heart disease,3112.369796,100000,global,global,adult,male,Global Burden of Disease,,
coronary heart disease,1455.807111,100000,global,global,adult,female,Global Burden of Disease,,
stroke,1183.198549,100000,global,global,adult,male,Global Burden of Disease,,
stroke,1228.460387,100000,global,global,adult,female,Global Burden of Disease,,
diabetes (type 2),894.238658,100000,global,global,adult,male,Global Burden of Disease,,
diabetes (type 2),769.0907017,100000,global,global,adult,female,Global Burden of Disease,,
colon cancer,535.2229659,100000,global,global,adult,male,Global Burden of Disease,,
colon cancer,405.5306952,100000,global,global,adult,female,Global Burden of Disease,,
alzheimer and other dementia,62.12521174,100000,global,global,adult,male,Global Burden of Disease,,
alzheimer and other dementia,1221.905375,100000,global,global,adult,female,Global Burden of Disease,,
depression,688.6353995,100000,global,global,adult,male,Global Burden of Disease,,
depression,1049.431798,100000,global,global,adult,female,Global Burden of Disease,,
anxiety,320.7834401,100000,global,global,adult,male,Global Burden of Disease,,
anxiety,569.4028151,100000,global,global,adult,female,Global Burden of Disease,,
breast cancer,1216.103217,100000,global,global,adult,female,Global Burden of Disease,,
endometrial uterine cancer,150.9289209,100000,global,global,adult,female,Global Burden of Disease,,
breast cancer,0,100000,global,global,adult,male,,,
endometrial uterine cancer,0,100000,global,global,adult,female,,,
osteoporosis,212,100000,global,global,adult,male,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9165055/,,
osteoporosis,198,100000,global,global,adult,female,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9165055/,,
