geography,factor,age_group,gender,direct,cost_per_case,cost_inflated,forex_rate,inflation_rate,adjusted_cost_with_healthcare_expenditure,base_year
Australia,coronary heart disease,adult,all,True,4028.336583419081,5148.555412325676,1.788699984550476,1.278084714548803,7001.57117410933,2016.0
Australia,stroke,adult,all,True,3685.1901877061673,4620.635935443686,1.6928900480270386,1.2538392050587173,6283.6482820415995,2017.0
Australia,diabetes (type 2),adult,all,True,2503.378467953205,3460.8459297998493,1.5313899517059326,1.3824701195219125,4706.43843943297,2012.0
Australia,breast cancer,adult,all,True,15567.055965542793,19896.016280086,1.788699984550476,1.278084714548803,27056.788343535525,2016.0
Australia,endometrial uterine cancer,adult,all,True,9351.71703322649,11952.286594952458,1.788699984550476,1.278084714548803,16254.032167464014,2016.0
Australia,colon cancer,adult,all,True,6697.630083799362,8126.145591183143,1.7951300144195557,1.2132867132867133,11050.825361932517,2020.0
Australia,osteoporosis,adult,all,True,11656.376725435257,14317.744154782424,1.7850500345230103,1.2283185840707966,19470.841182442302,2018.0
Australia,alzheimer and other dementia,adult,all,True,11470.804865762015,15034.44490432264,1.8140000104904175,1.3106704438149197,20445.489585066098,2014.0
Australia,depression,adult,all,True,5939.8764781761165,9000.598855576913,2.0696001052856445,1.5152838427947601,12240.002962008028,2008.0
Australia,anxiety,adult,all,True,2284.8385162353516,3462.1788870465816,2.0696001052856445,1.5152838427947601,4708.25114111094,2008.0
Australia,coronary heart disease,adult,all,False,4633.046229202122,5809.095001023076,1.6928900480270386,1.2538392050587173,7899.8454613996855,2017.0
Australia,stroke,adult,all,False,82058.60651564598,99213.71589173922,1.8071000576019287,1.2090592334494774,134921.70864100498,2019.0
Australia,diabetes (type 2),adult,all,False,5736.7858397841455,7930.935005598003,1.5313899517059326,1.3824701195219125,10785.356565453832,2012.0
Australia,breast cancer,adult,all,False,4502.328324222076,5754.357011068362,1.788699984550476,1.278084714548803,7825.406730162938,2016.0
Australia,endometrial uterine cancer,adult,all,False,24062.897943161726,30754.422048902834,1.788699984550476,1.278084714548803,41823.24121024137,2016.0
Australia,colon cancer,adult,all,False,17914.760469264984,22896.58152057072,1.788699984550476,1.278084714548803,31137.286543771912,2016.0
Australia,osteoporosis,adult,all,False,11250.63097737193,15249.878707609607,1.6650999784469604,1.35546875,20738.460134321856,2013.0
Australia,alzheimer and other dementia,adult,all,False,27476.5791047779,36012.740129775,1.8140000104904175,1.3106704438149197,48974.07971752315,2014.0
Australia,depression,adult,all,False,20585.856935253145,31193.41640407355,2.0696001052856445,1.5152838427947601,42420.23395414807,2008.0
Australia,anxiety,adult,all,False,4971.179452896118,7532.747904606783,2.0696001052856445,1.5152838427947601,10243.858008105502,2008.0
Australia,obesity,adult,all,True,1110.8505950394242,1364.4784300130275,1.7850500345230103,1.2283185840707966,1855.5676453247531,2018.0
Australia,obesity,adult,all,False,4979.151876829194,6115.984783220286,1.7850500345230103,1.2283185840707966,8317.187896428479,2018.0
Canada,coronary heart disease,adult,all,True,3888.751219652084,4891.814082660716,1.7267199754714966,1.2579395817195973,5714.647188304314,2016.0
Canada,stroke,adult,all,True,3675.9384108004497,4578.009186457001,1.6886399984359741,1.2453987730061349,5348.05838556893,2017.0
Canada,diabetes (type 2),adult,all,True,2608.5067887806895,3483.7294613321055,1.5957000255584717,1.335526315789474,4069.714104953487,2012.0
Canada,breast cancer,adult,all,True,15027.643946528435,18903.868140327017,1.7267199754714966,1.2579395817195973,22083.61460406056,2016.0
Canada,endometrial uterine cancer,adult,all,True,9027.671910159588,11356.265826567911,1.7267199754714966,1.2579395817195973,13266.459329569288,2016.0
Canada,colon cancer,adult,all,True,6273.452624201775,7425.7194327286325,1.681439995765686,1.1836734693877553,8674.770945975584,2020.0
Canada,osteoporosis,adult,all,True,11335.427290201187,13778.992454555935,1.7359000444412231,1.2155688622754492,16096.703422805815,2018.0
Canada,alzheimer and other dementia,adult,all,True,11546.054028942368,14893.400907865294,1.8258999586105347,1.289912629070691,17398.562207034796,2014.0
Canada,depression,adult,all,True,5786.327764549255,8142.977720648171,2.0160999298095703,1.4072790294627382,9512.67647326781,2008.0
Canada,anxiety,adult,all,True,2225.7743225097656,3132.2855283846266,2.0160999298095703,1.4072790294627382,3659.1551488427635,2008.0
Canada,coronary heart disease,adult,all,False,4621.414832198665,5755.50436157257,1.6886399984359741,1.2453987730061349,6723.61546480611,2017.0
Canada,stroke,adult,all,False,75451.59411418438,89899.77171051755,1.6615999937057495,1.1914893617021276,105021.46421625177,2019.0
Canada,diabetes (type 2),adult,all,False,5977.699736745358,7983.375306311235,1.5957000255584717,1.335526315789474,9326.227954798958,2012.0
Canada,breast cancer,adult,all,False,4346.318734675419,5467.406371117647,1.7267199754714966,1.2579395817195973,6387.057626897874,2016.0
Canada,endometrial uterine cancer,adult,all,False,23229.097615624665,29220.801338322588,1.7267199754714966,1.2579395817195973,34135.91918792182,2016.0
Canada,colon cancer,adult,all,False,17293.998448734284,21754.805174860172,1.7267199754714966,1.2579395817195973,25414.09671828802,2016.0
Canada,osteoporosis,adult,all,False,10798.673298908472,14257.760518233625,1.5982099771499634,1.3203252032520325,16656.003208675327,2013.0
Canada,alzheimer and other dementia,adult,all,False,27656.827100353574,35674.89055677062,1.8258999586105347,1.289912629070691,41675.62576344405,2014.0
Canada,depression,adult,all,False,20053.70245983124,28221.15493480583,2.0160999298095703,1.4072790294627382,32968.12613352013,2008.0
Canada,anxiety,adult,all,False,4842.672031402588,6814.990796358581,2.0160999298095703,1.4072790294627382,7961.314010435071,2008.0
Canada,obesity,adult,all,True,1080.2641718733507,1313.1354903610193,1.7359000444412231,1.2155688622754492,1534.0129267080881,2018.0
Canada,obesity,adult,all,False,4842.054730738687,5885.850960119483,1.7359000444412231,1.2155688622754492,6875.887159989995,2018.0
Germany,coronary heart disease,adult,all,True,2701.397457037407,3376.393346281445,1.1994999647140503,1.2498691510520257,4281.891389045467,2016.0
Germany,stroke,adult,all,True,2480.2744398852346,3057.451663455472,1.1393799781799316,1.2327069997935165,3877.414331653954,2017.0
Germany,diabetes (type 2),adult,all,True,2025.2421310734749,2635.2867311483533,1.2388999462127686,1.3012205754141237,3342.0310978273424,2012.0
Germany,breast cancer,adult,all,True,10439.24819290638,13047.69427648929,1.1994999647140503,1.2498691510520257,16546.890139719013,2016.0
Germany,endometrial uterine cancer,adult,all,True,6271.249705517293,7838.241545470164,1.1994999647140503,1.2498691510520257,9940.340338536336,2016.0
Germany,colon cancer,adult,all,True,4113.427357673645,4886.997278668988,1.1024999618530273,1.1880597014925374,6197.616633994244,2020.0
Germany,osteoporosis,adult,all,True,7382.817840576172,8934.810968627558,1.1305999755859375,1.2102169065477397,11330.993230231974,2018.0
Germany,alzheimer and other dementia,adult,all,True,7900.5643559838645,9990.758145567394,1.249400019645691,1.2645625926710442,12670.12959869011,2014.0
Germany,depression,adult,all,True,3601.9252863144875,4913.961142435442,1.2549999952316284,1.3642595978062158,6231.811801510532,2008.0
Germany,anxiety,adult,all,True,1385.5199947357178,1890.2089507706205,1.2549999952316284,1.3642595978062158,2397.13463442145,2008.0
Germany,coronary heart disease,adult,all,False,3118.2179360597293,3843.84907666252,1.1393799781799316,1.2327069997935165,4874.711733536171,2017.0
Germany,stroke,adult,all,False,50733.20369100571,60412.33191090139,1.1172499656677246,1.1907848808217814,76614.01302260555,2019.0
Germany,diabetes (type 2),adult,all,False,4641.080255506039,6039.069120612697,1.2388999462127686,1.3012205754141237,7658.656860546484,2012.0
Germany,breast cancer,adult,all,False,3019.255723531902,3773.6745879797877,1.1994999647140503,1.2498691510520257,4785.717499747566,2016.0
Germany,endometrial uterine cancer,adult,all,False,16136.549160307646,20168.574999902994,1.1994999647140503,1.2498691510520257,25577.484245582225,2016.0
Germany,colon cancer,adult,all,False,12013.615886592865,15015.447889240952,1.1994999647140503,1.2498691510520257,19042.36575113852,2016.0
Germany,osteoporosis,adult,all,False,7893.887879375219,10087.0099828489,1.1683000326156616,1.2778253424657535,12792.194734758867,2013.0
Germany,alzheimer and other dementia,adult,all,False,18924.607648720426,23931.350913548176,1.249400019645691,1.2645625926710442,30349.380210040737,2014.0
Germany,depression,adult,all,False,12483.208852570058,17030.337488538218,1.2549999952316284,1.3642595978062158,21597.618513560315,2008.0
Germany,anxiety,adult,all,False,3014.5099885463715,4112.574184557093,1.2549999952316284,1.3642595978062158,5215.504883949568,2008.0
Germany,obesity,adult,all,True,703.581205759758,851.4858703397031,1.1305999755859375,1.2102169065477397,1079.8416067597427,2018.0
Germany,obesity,adult,all,False,3153.653332684326,3816.6045806051948,1.1305999755859375,1.2102169065477397,4840.16067235865,2018.0
Ireland,coronary heart disease,adult,all,True,2701.397457037407,3269.433242507638,1.1994999647140503,1.210274790919952,3872.665349844872,2016.0
Ireland,stroke,adult,all,True,2480.2744398852346,3012.611519908564,1.1393799781799316,1.21462829736211,3568.4583168748195,2017.0
Ireland,diabetes (type 2),adult,all,True,2025.2421310734749,2483.741257599794,1.2388999462127686,1.2263922518159807,2942.007985123855,2012.0
Ireland,breast cancer,adult,all,True,10439.24819290638,12634.358924031256,1.1994999647140503,1.210274790919952,14965.481902628228,2016.0
Ireland,endometrial uterine cancer,adult,all,True,6271.249705517293,7589.935426151752,1.1994999647140503,1.210274790919952,8990.328828330341,2016.0
Ireland,colon cancer,adult,all,True,4113.427357673645,4942.944143918627,1.1024999618530273,1.2016607354685647,5854.95010679288,2020.0
Ireland,osteoporosis,adult,all,True,7382.817840576172,8935.238318403419,1.1305999755859375,1.210274790919952,10583.849022635684,2018.0
Ireland,alzheimer and other dementia,adult,all,True,7900.5643559838645,9584.756518097789,1.249400019645691,1.2131736526946106,11353.207636032768,2014.0
Ireland,depression,adult,all,True,3601.9252863144875,4328.292188655488,1.2549999952316284,1.2016607354685647,5126.890791063819,2008.0
Ireland,anxiety,adult,all,True,1385.5199947357178,1664.9249758805245,1.2549999952316284,1.2016607354685647,1972.1146712383907,2008.0
Ireland,coronary heart disease,adult,all,False,3118.2179360597293,3787.475742480222,1.1393799781799316,1.21462829736211,4486.290125328004,2017.0
Ireland,stroke,adult,all,False,50733.20369100571,60747.91411227988,1.1172499656677246,1.1973995271867612,71956.30698290026,2019.0
Ireland,diabetes (type 2),adult,all,False,4641.080255506039,5691.784865408738,1.2388999462127686,1.2263922518159807,6741.956905697053,2012.0
Ireland,breast cancer,adult,all,False,3019.255723531902,3654.129089531441,1.1994999647140503,1.210274790919952,4328.340130913543,2016.0
Ireland,endometrial uterine cancer,adult,all,False,16136.549160307646,19529.658661160865,1.1994999647140503,1.210274790919952,23133.010152354804,2016.0
Ireland,colon cancer,adult,all,False,12013.615886592865,14539.776455338793,1.1994999647140503,1.210274790919952,17222.46160007021,2016.0
Ireland,osteoporosis,adult,all,False,7893.887879375219,9622.753816855713,1.1683000326156616,1.2190132370637787,11398.215688307495,2013.0
Ireland,alzheimer and other dementia,adult,all,False,18924.607648720426,22958.835387010527,1.249400019645691,1.2131736526946106,27194.892717207767,2014.0
Ireland,depression,adult,all,False,12483.208852570058,15000.581930787033,1.2549999952316284,1.2016607354685647,17768.288740562137,2008.0
Ireland,anxiety,adult,all,False,3014.5099885463715,3622.4182899139673,1.2549999952316284,1.2016607354685647,4290.778478545846,2008.0
Ireland,obesity,adult,all,True,703.581205759758,851.5265966960989,1.1305999755859375,1.210274790919952,1008.6388988224178,2018.0
Ireland,obesity,adult,all,False,3153.653332684326,3816.7871278485327,1.1305999755859375,1.210274790919952,4521.009655611101,2018.0
KSA,coronary heart disease,adult,all,True,11222.67978471695,12665.51441558822,4.9832000732421875,1.1285641806189752,4331.855456083669,2016.0
KSA,stroke,adult,all,True,10602.412810845211,12031.42896461794,4.870500087738037,1.1347821650851952,4114.985739601544,2017.0
KSA,diabetes (type 2),adult,all,True,9615.037563605309,11904.536099567878,5.881800174713135,1.2381164421685407,4071.585879811509,2012.0
KSA,breast cancer,adult,all,True,43368.79023742676,48944.46321873774,4.9832000732421875,1.1285641806189752,16739.970685930388,2016.0
KSA,endometrial uterine cancer,adult,all,True,26053.26628692627,29402.783119552918,4.9832000732421875,1.1285641806189752,10056.331097276223,2016.0
KSA,colon cancer,adult,all,True,17318.39896774292,19614.585877722682,4.641757965087891,1.1325865580448065,6708.574801246125,2020.0
KSA,osteoporosis,adult,all,True,32321.540207862854,35844.06921845156,4.949699878692627,1.1089839465549904,12259.377844226223,2018.0
KSA,alzheimer and other dementia,adult,all,True,40533.54851930251,47339.50715443478,6.409999847412109,1.1679092722881443,16191.044092363167,2014.0
KSA,depression,adult,all,True,21381.660425367354,32101.353570590672,7.449900150299072,1.5013498920086392,10979.29535663285,2008.0
KSA,anxiety,adult,all,True,8224.689765930176,12348.13709188383,7.449900150299072,1.5013498920086392,4223.306158659633,2008.0
KSA,coronary heart disease,adult,all,False,13329.425671869098,15125.994523265797,4.870500087738037,1.1347821650851952,5173.388127343389,2017.0
KSA,stroke,adult,all,False,215906.18064928055,245809.0430117001,4.754700183868408,1.138499334629952,84071.53544544647,2019.0
KSA,diabetes (type 2),adult,all,False,22033.988088498118,27280.642938915295,5.881800174713135,1.2381164421685407,9330.51734676994,2012.0
KSA,breast cancer,adult,all,False,12543.189483317567,14155.794361588836,4.9832000732421875,1.1285641806189752,4841.560557933259,2016.0
KSA,endometrial uterine cancer,adult,all,False,67037.64512130737,75656.2850369539,4.9832000732421875,1.1285641806189752,25875.940002957173,2016.0
KSA,colon cancer,adult,all,False,49909.33999755859,56325.89339957856,4.9832000732421875,1.1285641806189752,19264.5652308801,2016.0
KSA,osteoporosis,adult,all,False,38387.68462089061,45997.39585795577,5.681399822235107,1.1982331394096102,15732.015587751568,2013.0
KSA,alzheimer and other dementia,adult,all,False,97091.98834095788,113394.63344829711,6.409999847412109,1.1679092722881443,38783.198650743514,2014.0
KSA,depression,adult,all,False,74102.5178169918,111253.80712210892,7.449900150299072,1.5013498920086392,38050.99387031927,2008.0
KSA,anxiety,adult,all,False,17894.66016101837,26866.14610027623,7.449900150299072,1.5013498920086392,9188.75126186634,2008.0
KSA,obesity,adult,all,True,3080.236939678563,3415.9333176891987,4.949699878692627,1.1089839465549904,1168.3164926675202,2018.0
KSA,obesity,adult,all,False,13806.507920837745,15311.195642193377,4.949699878692627,1.1089839465549904,5236.7305587026585,2018.0
Newzealand,coronary heart disease,adult,all,True,4207.018392033869,5444.427098043627,1.8680399656295776,1.2941296164411435,5303.407136616489,2016.0
Newzealand,stroke,adult,all,True,3861.711973528279,4912.097630327971,1.7739800214767456,1.272,4784.865911382906,2017.0
Newzealand,diabetes (type 2),adult,all,True,3196.34841966033,4267.613298843225,1.955299973487854,1.3351527238375145,4157.074824922788,2012.0
Newzealand,breast cancer,adult,all,True,16257.551820874214,21039.37930221996,1.8680399656295776,1.2941296164411435,20494.423441075982,2016.0
Newzealand,endometrial uterine cancer,adult,all,True,9766.523909103871,12639.147840451851,1.8680399656295776,1.2941296164411435,12311.772322544213,2016.0
Newzealand,colon cancer,adult,all,True,7162.773960828781,8702.052032640124,1.919800043106079,1.2148997134670487,8476.654021080594,2020.0
Newzealand,osteoporosis,adult,all,True,12721.745917797089,15942.917051662951,1.948199987411499,1.2532019704433497,15529.968268039887,2018.0
Newzealand,alzheimer and other dementia,adult,all,True,12340.284582901857,16104.280280549054,1.9515000581741333,1.3050169282856263,15687.151913674437,2014.0
Newzealand,depression,adult,all,True,7522.714119291305,11057.190154539565,2.6210999488830566,1.4698405361682458,10770.790042827903,2008.0
Newzealand,anxiety,adult,all,True,2893.6943435668945,4253.269245455384,2.6210999488830566,1.4698405361682458,4143.10230701867,2008.0
Newzealand,coronary heart disease,adult,all,False,4854.970621843637,6175.522630985106,1.7739800214767456,1.272,6015.566046475623,2017.0
Newzealand,stroke,adult,all,False,85731.28310632706,105668.79080547288,1.8879799842834473,1.2325581395348837,102931.78863148938,2019.0
Newzealand,diabetes (type 2),adult,all,False,7324.807889682054,9779.73720549551,1.955299973487854,1.3351527238375145,9526.425307172527,2012.0
Newzealand,breast cancer,adult,all,False,4702.034617698371,6085.0422562949725,1.8680399656295776,1.2941296164411435,5927.429268038858,2016.0
Newzealand,endometrial uterine cancer,adult,all,False,25130.237286823987,32521.78434107245,1.8680399656295776,1.2941296164411435,31679.414576406536,2016.0
Newzealand,colon cancer,adult,all,False,18709.391636562348,24212.37782247157,1.8680399656295776,1.2941296164411435,23585.23587987652,2016.0
Newzealand,osteoporosis,adult,all,False,13276.974675530195,17606.663664798172,1.965000033378601,1.3261050875729774,17150.621002060965,2013.0
Newzealand,alzheimer and other dementia,adult,all,False,29559.286334791064,38575.36905494433,1.9515000581741333,1.3050169282856263,37576.201106103465,2014.0
Newzealand,depression,adult,all,False,26071.504549551013,38320.95422582492,2.6210999488830566,1.4698405361682458,37328.376055622444,2008.0
Newzealand,anxiety,adult,all,False,6295.882077217102,9253.942688028834,2.6210999488830566,1.4698405361682458,9014.249765814171,2008.0
Newzealand,obesity,adult,all,True,1212.3800865056173,1519.3571133351184,1.948199987411499,1.2532019704433497,1480.0031688964912,2018.0
Newzealand,obesity,adult,all,False,5434.236260134106,6810.195589054761,1.948199987411499,1.2532019704433497,6633.799890850837,2018.0
Singapore,coronary heart disease,adult,all,True,4042.9076108981644,4776.749754186638,1.7951699495315552,1.1815134586084306,3926.1971191787957,2016.0
Singapore,stroke,adult,all,True,3899.2845367182294,4583.314241219326,1.7912399768829346,1.175424413904608,3767.2049188665455,2017.0
Singapore,diabetes (type 2),adult,all,True,3244.408879005909,3934.4207757085837,1.9846999645233154,1.212677231025855,3233.8540451455024,2012.0
Singapore,breast cancer,adult,all,True,15623.364070773125,18459.214918357844,1.7951699495315552,1.1815134586084306,15172.349435144197,2016.0
Singapore,endometrial uterine cancer,adult,all,True,9385.543433539868,11089.145883081334,1.7951699495315552,1.1815134586084306,9114.601949191036,2016.0
Singapore,colon cancer,adult,all,True,6441.12374484539,7529.964964828299,1.7263799905776978,1.1690452261306532,6189.1721931872835,2020.0
Singapore,osteoporosis,adult,all,True,11751.910364627838,13737.13409319174,1.7996799945831299,1.1689277459551803,11291.086843138588,2018.0
Singapore,alzheimer and other dementia,adult,all,True,13486.732992789819,15765.016397561167,2.1328001022338867,1.1689277459551803,12957.882482677927,2014.0
Singapore,depression,adult,all,True,7770.113288006783,10721.465927176143,2.7072999477386475,1.3798339264531434,8812.39143829092,2008.0
Singapore,anxiety,adult,all,True,2988.859142303467,4124.129245939967,2.7072999477386475,1.3798339264531434,3389.7828435200577,2008.0
Singapore,coronary heart disease,adult,all,False,4902.207104451611,5762.17391258904,1.7912399768829346,1.175424413904608,4736.15570838429,2017.0
Singapore,stroke,adult,all,False,77915.94186413288,90595.58534222248,1.7158700227737427,1.162734906037585,74464.0486701646,2019.0
Singapore,diabetes (type 2),adult,all,False,7434.944078099727,9016.187397462056,1.9846999645233154,1.212677231025855,7410.75643639601,2012.0
Singapore,breast cancer,adult,all,False,4518.613842667115,5338.803069365554,1.7951699495315552,1.1815134586084306,4388.170682886259,2016.0
Singapore,endometrial uterine cancer,adult,all,False,24149.936635161637,28533.47515898427,1.7951699495315552,1.1815134586084306,23452.77725113724,2016.0
Singapore,colon cancer,adult,all,False,17979.560532932283,21243.092749524458,1.7951699495315552,1.1815134586084306,17460.52731410725,2016.0
Singapore,osteoporosis,adult,all,False,13032.380735076666,15522.49157386973,1.9287999868392944,1.1910710628711858,12758.54186131251,2013.0
Singapore,alzheimer and other dementia,adult,all,False,32305.43020110823,37762.71370709385,2.1328001022338867,1.1689277459551803,31038.648746298233,2014.0
Singapore,depression,adult,all,False,26928.916974167827,37157.43324359669,2.7072999477386475,1.3798339264531434,30541.14510169243,2008.0
Singapore,anxiety,adult,all,False,6502.934474468231,8972.969609373007,2.7072999477386475,1.3798339264531434,7375.234049035487,2008.0
Singapore,obesity,adult,all,True,1119.9549335867353,1309.1463960889262,1.7996799945831299,1.1689277459551803,1076.0385352828375,2018.0
Singapore,obesity,adult,all,False,5019.960140845585,5867.970692223479,1.7996799945831299,1.1689277459551803,4823.11421213573,2018.0
