country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,91.6,92.9,95.8,99.2,100.4,102.4,105.9,107.5,108.6,110.7,113,114.8,114.4,118.8,126.1,133.7,138.8
Canada,115.4,115.1,116.2,119.8,121.6,123,125.9,127.2,129.1,130.4,133.6,136.3,137.2,141.4,152.9,157.2,162.4
Germany,87.52,87.60,88.40,90.26,91.76,93.44,94.42,95.25,95.53,96.86,98.66,100.27,100.50,102.90,109.80,116.80,119.40
Ireland,84.30,79.80,79.10,81.20,82.60,83.10,83.50,83.30,83.70,83.40,83.70,84.60,84.30,85.60,93.40,99.10,101.30
KSA,74.08,77.93,82.23,87.41,89.83,92.82,95.23,96.37,98.55,98.01,100.29,97.69,98.20,104.25,106.66,109.58,111.22
Newzealand,86.54,88.17,89.64,94.37,95.27,95.92,97.47,97.88,98.29,100.00,101.50,103.20,104.70,108.20,116.10,123.10,127.20
Singapore,84.30,84.28,86.57,91.10,95.92,97.66,99.51,99.17,98.45,98.96,99.51,100.04,99.50,101.87,108.67,113.58,116.32
Spain,87.49,86.61,87.91,90.71,92.43,94.34,94.42,94.47,93.72,95.14,97.30,97.72,97.39,100.05,110.27,112.35,116.21
America,218.80,215.70,217.90,225.70,229.50,233.50,238.00,237.80,241.00,244.90,251.99,256.14,257.80,271.70,296.31,305.11,314.54
Japan,97.30,95.30,95.10,94.60,94.10,94.60,98.00,98.30,98.10,99.20,99.20,99.80,99.90,99.70,101.80,105.20,108.60
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
